Macrotrends Data Download

S&amp;P 500 - 10 Year Daily Chart

DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED "AS IS" AND SOLELY
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.



ATTRIBUTION: Proper attribution requires clear indication of the data source as "www.macrotrends.net".
A "dofollow" backlink to the originating page is also required if the data is displayed on a web page.


date, value
2010-10-08,1165.1500
2010-10-11,1165.3200
2010-10-12,1169.7700
2010-10-13,1178.1000
2010-10-14,1173.8100
2010-10-15,1176.1900
2010-10-18,1184.7100
2010-10-19,1165.9000
2010-10-20,1178.1700
2010-10-21,1180.2600
2010-10-22,1183.0800
2010-10-25,1185.6200
2010-10-26,1185.6400
2010-10-27,1182.4500
2010-10-28,1183.7800
2010-10-29,1183.2600
2010-11-01,1184.3800
2010-11-02,1193.5700
2010-11-03,1197.9600
2010-11-04,1221.0600
2010-11-05,1225.8500
2010-11-08,1223.2500
2010-11-09,1213.4000
2010-11-10,1218.7100
2010-11-11,1213.5400
2010-11-12,1199.2100
2010-11-15,1197.7500
2010-11-16,1178.3400
2010-11-17,1178.5900
2010-11-18,1196.6900
2010-11-19,1199.7300
2010-11-22,1197.8400
2010-11-23,1180.7300
2010-11-24,1198.3500
2010-11-26,1189.4000
2010-11-29,1187.7600
2010-11-30,1180.5500
2010-12-01,1206.0700
2010-12-02,1221.5300
2010-12-03,1224.7100
2010-12-06,1223.1200
2010-12-07,1223.7500
2010-12-08,1228.2800
2010-12-09,1233.0000
2010-12-10,1240.4000
2010-12-13,1240.4600
2010-12-14,1241.5900
2010-12-15,1235.2300
2010-12-16,1242.8700
2010-12-17,1243.9100
2010-12-20,1247.0800
2010-12-21,1254.6000
2010-12-22,1258.8400
2010-12-23,1256.7700
2010-12-27,1257.5400
2010-12-28,1258.5100
2010-12-29,1259.7800
2010-12-30,1257.8800
2010-12-31,1257.6400
2011-01-03,1271.8700
2011-01-04,1270.2000
2011-01-05,1276.5600
2011-01-06,1273.8500
2011-01-07,1271.5000
2011-01-10,1269.7500
2011-01-11,1274.4800
2011-01-12,1285.9600
2011-01-13,1283.7600
2011-01-14,1293.2400
2011-01-18,1295.0200
2011-01-19,1281.9200
2011-01-20,1280.2600
2011-01-21,1283.3500
2011-01-24,1290.8400
2011-01-25,1291.1800
2011-01-26,1296.6300
2011-01-27,1299.5400
2011-01-28,1276.3400
2011-01-31,1286.1200
2011-02-01,1307.5900
2011-02-02,1304.0300
2011-02-03,1307.1000
2011-02-04,1310.8700
2011-02-07,1319.0500
2011-02-08,1324.5700
2011-02-09,1320.8800
2011-02-10,1321.8700
2011-02-11,1329.1500
2011-02-14,1332.3200
2011-02-15,1328.0100
2011-02-16,1336.3200
2011-02-17,1340.4300
2011-02-18,1343.0100
2011-02-22,1315.4400
2011-02-23,1307.4000
2011-02-24,1306.1000
2011-02-25,1319.8800
2011-02-28,1327.2200
2011-03-01,1306.3300
2011-03-02,1308.4400
2011-03-03,1330.9700
2011-03-04,1321.1500
2011-03-07,1310.1300
2011-03-08,1321.8200
2011-03-09,1320.0200
2011-03-10,1295.1100
2011-03-11,1304.2800
2011-03-14,1296.3900
2011-03-15,1281.8700
2011-03-16,1256.8800
2011-03-17,1273.7200
2011-03-18,1279.2100
2011-03-21,1298.3800
2011-03-22,1293.7700
2011-03-23,1297.5400
2011-03-24,1309.6600
2011-03-25,1313.8000
2011-03-28,1310.1900
2011-03-29,1319.4400
2011-03-30,1328.2600
2011-03-31,1325.8300
2011-04-01,1332.4100
2011-04-04,1332.8700
2011-04-05,1332.6300
2011-04-06,1335.5400
2011-04-07,1333.5100
2011-04-08,1328.1700
2011-04-11,1324.4600
2011-04-12,1314.1600
2011-04-13,1314.4100
2011-04-14,1314.5200
2011-04-15,1319.6800
2011-04-18,1305.1400
2011-04-19,1312.6200
2011-04-20,1330.3600
2011-04-21,1337.3800
2011-04-25,1335.2500
2011-04-26,1347.2400
2011-04-27,1355.6600
2011-04-28,1360.4800
2011-04-29,1363.6100
2011-05-02,1361.2200
2011-05-03,1356.6200
2011-05-04,1347.3200
2011-05-05,1335.1000
2011-05-06,1340.2000
2011-05-09,1346.2900
2011-05-10,1357.1600
2011-05-11,1342.0800
2011-05-12,1348.6500
2011-05-13,1337.7700
2011-05-16,1329.4700
2011-05-17,1328.9800
2011-05-18,1340.6800
2011-05-19,1343.6000
2011-05-20,1333.2700
2011-05-23,1317.3700
2011-05-24,1316.2800
2011-05-25,1320.4700
2011-05-26,1325.6900
2011-05-27,1331.1000
2011-05-31,1345.2000
2011-06-01,1314.5500
2011-06-02,1312.9400
2011-06-03,1300.1600
2011-06-06,1286.1700
2011-06-07,1284.9400
2011-06-08,1279.5600
2011-06-09,1289.0000
2011-06-10,1270.9800
2011-06-13,1271.8300
2011-06-14,1287.8700
2011-06-15,1265.4200
2011-06-16,1267.6400
2011-06-17,1271.5000
2011-06-20,1278.3600
2011-06-21,1295.5200
2011-06-22,1287.1400
2011-06-23,1283.5000
2011-06-24,1268.4500
2011-06-27,1280.1000
2011-06-28,1296.6700
2011-06-29,1307.4100
2011-06-30,1320.6400
2011-07-01,1339.6700
2011-07-05,1337.8800
2011-07-06,1339.2200
2011-07-07,1353.2200
2011-07-08,1343.8000
2011-07-11,1319.4900
2011-07-12,1313.6400
2011-07-13,1317.7200
2011-07-14,1308.8700
2011-07-15,1316.1400
2011-07-18,1305.4400
2011-07-19,1326.7300
2011-07-20,1325.8400
2011-07-21,1343.8000
2011-07-22,1345.0200
2011-07-25,1337.4300
2011-07-26,1331.9400
2011-07-27,1304.8900
2011-07-28,1300.6700
2011-07-29,1292.2800
2011-08-01,1286.9400
2011-08-02,1254.0500
2011-08-03,1260.3400
2011-08-04,1200.0700
2011-08-05,1199.3800
2011-08-08,1119.4600
2011-08-09,1172.5300
2011-08-10,1120.7600
2011-08-11,1172.6400
2011-08-12,1178.8100
2011-08-15,1204.4900
2011-08-16,1192.7600
2011-08-17,1193.8900
2011-08-18,1140.6500
2011-08-19,1123.5300
2011-08-22,1123.8200
2011-08-23,1162.3500
2011-08-24,1177.6000
2011-08-25,1159.2700
2011-08-26,1176.8000
2011-08-29,1210.0800
2011-08-30,1212.9200
2011-08-31,1218.8900
2011-09-01,1204.4200
2011-09-02,1173.9700
2011-09-06,1165.2400
2011-09-07,1198.6200
2011-09-08,1185.9000
2011-09-09,1154.2300
2011-09-12,1162.2700
2011-09-13,1172.8700
2011-09-14,1188.6800
2011-09-15,1209.1100
2011-09-16,1216.0100
2011-09-19,1204.0900
2011-09-20,1202.0900
2011-09-21,1166.7600
2011-09-22,1129.5600
2011-09-23,1136.4300
2011-09-26,1162.9500
2011-09-27,1175.3800
2011-09-28,1151.0600
2011-09-29,1160.4000
2011-09-30,1131.4200
2011-10-03,1099.2300
2011-10-04,1123.9500
2011-10-05,1144.0300
2011-10-06,1164.9700
2011-10-07,1155.4600
2011-10-10,1194.8900
2011-10-11,1195.5400
2011-10-12,1207.2500
2011-10-13,1203.6600
